Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
PSCD,109.04,2024/03/28,16:00 EDT,0.872902,107.5,109.27,107.5,4833,,,,,,,
PSET,67.82,2024/03/28,16:00 EDT,0.190002,67.7913,67.8799,67.7899,1575,,,,,,,
PSCC,37.23,2024/03/28,16:00 EDT,0.079998,37.07,37.5,37.07,2664,,,,,,,
PSCI,126.87,2024/03/28,16:00 EDT,0.410004,126.88,127.624,126.53,6074,,,,,,,
QMOM,59.11,2024/03/28,16:00 EDT,0.0299988,58.92,59.2675,58.899,10966,,,,,,,
PSCT,46.4,2024/03/28,16:00 EDT,0.200001,46.27,46.7,46.27,18362,,,,,,,
EWJV,33.23,2024/03/28,16:00 EDT,-0.130001,33.23,33.27,33.11,63998,,,,,,,
SKOR,47.78,2024/03/28,16:00 EDT,-0.0253029,47.781,47.82,47.7242,32758,,,,,,,
IUS,47.46,2024/03/28,16:00 EDT,0.0900002,47.32,47.5599,47.32,74094,,,,,,,
IMCV,72.55,2024/03/28,16:00 EDT,0.3199997,72.24,72.64,72.24,14949,,,,,,,
VRIG,25.09,2024/03/28,16:00 EDT,0.0100002,25.09,25.1,25.08,141139,,,,,,,
SUSB,24.48,2024/03/28,16:00 EDT,-0.0300007,24.48,24.5,24.4799,174489,,,,,,,
FALN,26.86,2024/03/28,16:00 EDT,-0.01999855,26.91,26.915,26.8402,409683,,,,,,,
SLQD,49.22,2024/03/28,16:00 EDT,-0.049999237,49.26,49.265,49.22,573213,,,,,,,
ANGL,29.02,2024/03/28,16:00 EDT,-0.020000458,29.02,29.06,29.01,2276783,,,,,,,
ONEQ,64.4,2024/03/28,16:00 EDT,-0.11999512,64.57,64.63,64.35,217468,,,,,,,
VONE,238.32,2024/03/28,16:00 EDT,0.020004272,238.29,238.89,238.143,49510,,,,,,,
VYMI,68.8,2024/03/28,16:00 EDT,-0.049995422,68.7552,68.86,68.68,280411,,,,,,,
ESGD,79.91,2024/03/28,16:00 EDT,-0.26999664,79.86,80.1,79.74,784358,,,,,,,
EMXC,57.57,2024/03/28,16:00 EDT,0.11999893,57.61,57.67,57.43,2093136,,,,,,,
DGRW,76.19,2024/03/28,16:00 EDT,0.1000061,76.2,76.3703,76.12,480417,,,,,,,
IEI,115.81,2024/03/28,16:00 EDT,-0.1700058,115.8,115.92,115.77,2689684,,,,,,,
ESGU,114.96,2024/03/28,16:00 EDT,0.010002136,114.84,115.29,114.84,1480313,,,,,,,
IUSV,90.44,2024/03/28,16:00 EDT,0.33000183,90.23,90.64,90.15,564601,,,,,,,
IUSG,117.21,2024/03/28,16:00 EDT,-0.25,117.41,117.54,117.04,406928,,,,,,,
VMBS,45.61,2024/03/28,16:00 EDT,-0.13999939,45.62,45.7,45.56,872675,,,,,,,
IGSB,51.28,2024/03/28,16:00 EDT,-0.05000305,51.2879,51.32,51.27,1771498,,,,,,,
VGSH,58.07,2024/03/28,16:00 EDT,-0.049999237,58.08,58.1,58.06,1840234,,,,,,,
VONG,86.67,2024/03/28,16:00 EDT,-0.20999908,86.89,86.94,86.566,587867,,,,,,,
IEF,94.66,2024/03/28,16:00 EDT,-0.08999634,94.54,94.765,94.475,7561329,,,,,,,
MBB,92.42,2024/03/28,16:00 EDT,-0.26000214,92.58,92.61,92.37,1714203,,,,,,,
VGIT,58.55,2024/03/28,16:00 EDT,-0.09000015,58.53,58.61,58.5015,1364159,,,,,,,
VCSH,77.31,2024/03/28,16:00 EDT,-0.11000061,77.31,77.39,77.3,2241586,,,,,,,
VCIT,80.51,2024/03/28,16:00 EDT,-0.049995422,80.51,80.62,80.4403,8502923,,,,,,,
VTIP,47.89,2024/03/28,16:00 EDT,-0.020000458,47.89,47.92,47.8801,1315974,,,,,,,
QQQ,444.01,2024/03/28,16:00 EDT,-0.8199768,444.81,445.64,443.65,36409430,,,,,,,
